E151/500 | Loss:0.0165 | TrA:98.73% TrF1:98.73% | VAcc:83.75% VF1:83.75% | ETA:133.0min | BestVAcc:88.75%
E152/500 | Loss:0.0083 | TrA:99.37% TrF1:99.37% | VAcc:86.25% VF1:86.25% | ETA:132.5min | BestVAcc:88.75%
E153/500 | Loss:0.0055 | TrA:99.37% TrF1:99.37% | VAcc:86.25% VF1:86.25% | ETA:132.1min | BestVAcc:88.75%
E154/500 | Loss:0.0208 | TrA:99.05% TrF1:99.05% | VAcc:85.00% VF1:85.00% | ETA:131.8min | BestVAcc:88.75%
E155/500 | Loss:0.0081 | TrA:99.37% TrF1:99.37% | VAcc:86.25% VF1:86.25% | ETA:131.5min | BestVAcc:88.75%
E156/500 | Loss:0.0030 | TrA:100.00% TrF1:100.00% | VAcc:86.25% VF1:86.25% | ETA:131.1min | BestVAcc:88.75%
E157/500 | Loss:0.0071 | TrA:99.05% TrF1:99.05% | VAcc:86.25% VF1:86.25% | ETA:130.8min | BestVAcc:88.75%
E158/500 | Loss:0.0035 | TrA:99.68% TrF1:99.68% | VAcc:83.75% VF1:83.75% | ETA:130.4min | BestVAcc:88.75%
E159/500 | Loss:0.0240 | TrA:98.73% TrF1:98.73% | VAcc:88.75% VF1:88.75% | ETA:130.1min | BestVAcc:88.75%
E160/500 | Loss:0.0026 | TrA:100.00% TrF1:100.00% | VAcc:88.75% VF1:88.75% | ETA:129.8min | BestVAcc:88.75%
E161/500 | Loss:0.0044 | TrA:99.37% TrF1:99.37% | VAcc:86.25% VF1:86.25% | ETA:129.5min | BestVAcc:88.75%
E162/500 | Loss:0.0032 | TrA:99.68% TrF1:99.68% | VAcc:88.75% VF1:88.75% | ETA:129.2min | BestVAcc:88.75%
E163/500 | Loss:0.0024 | TrA:99.68% TrF1:99.68% | VAcc:87.50% VF1:87.50% | ETA:128.8min | BestVAcc:88.75%
E164/500 | Loss:0.0008 | TrA:100.00% TrF1:100.00% | VAcc:88.75% VF1:88.75% | ETA:128.4min | BestVAcc:88.75%
E165/500 | Loss:0.0124 | TrA:99.37% TrF1:99.37% | VAcc:86.25% VF1:86.25% | ETA:128.1min | BestVAcc:88.75%
E166/500 | Loss:0.0121 | TrA:97.78% TrF1:97.78% | VAcc:83.75% VF1:83.75% | ETA:127.7min | BestVAcc:88.75%
E167/500 | Loss:0.1669 | TrA:90.82% TrF1:90.82% | VAcc:70.00% VF1:70.00% | ETA:127.3min | BestVAcc:88.75%
E168/500 | Loss:0.2734 | TrA:85.44% TrF1:85.44% | VAcc:81.25% VF1:81.25% | ETA:126.9min | BestVAcc:88.75%
E169/500 | Loss:0.2857 | TrA:82.59% TrF1:82.59% | VAcc:73.75% VF1:73.75% | ETA:126.5min | BestVAcc:88.75%
E170/500 | Loss:0.4432 | TrA:80.38% TrF1:80.38% | VAcc:76.25% VF1:76.25% | ETA:126.1min | BestVAcc:88.75%
E171/500 | Loss:0.1154 | TrA:92.09% TrF1:92.09% | VAcc:82.50% VF1:82.50% | ETA:125.8min | BestVAcc:88.75%
E172/500 | Loss:0.0515 | TrA:95.89% TrF1:95.89% | VAcc:83.75% VF1:83.75% | ETA:125.3min | BestVAcc:88.75%
E173/500 | Loss:0.0427 | TrA:95.25% TrF1:95.25% | VAcc:77.50% VF1:77.50% | ETA:125.0min | BestVAcc:88.75%
E174/500 | Loss:0.0368 | TrA:98.10% TrF1:98.10% | VAcc:82.50% VF1:82.50% | ETA:124.7min | BestVAcc:88.75%
E175/500 | Loss:0.2087 | TrA:85.76% TrF1:85.76% | VAcc:67.50% VF1:67.50% | ETA:124.4min | BestVAcc:88.75%
E176/500 | Loss:0.0953 | TrA:89.87% TrF1:89.87% | VAcc:82.50% VF1:82.50% | ETA:124.0min | BestVAcc:88.75%
E177/500 | Loss:0.0499 | TrA:95.57% TrF1:95.57% | VAcc:83.75% VF1:83.75% | ETA:123.6min | BestVAcc:88.75%
E178/500 | Loss:0.0130 | TrA:99.05% TrF1:99.05% | VAcc:86.25% VF1:86.25% | ETA:123.3min | BestVAcc:88.75%
E179/500 | Loss:0.0104 | TrA:98.73% TrF1:98.73% | VAcc:87.50% VF1:87.50% | ETA:122.9min | BestVAcc:88.75%
E180/500 | Loss:0.0133 | TrA:98.42% TrF1:98.42% | VAcc:85.00% VF1:85.00% | ETA:122.5min | BestVAcc:88.75%
E181/500 | Loss:0.0132 | TrA:98.10% TrF1:98.10% | VAcc:83.75% VF1:83.75% | ETA:122.1min | BestVAcc:88.75%
E182/500 | Loss:0.0042 | TrA:100.00% TrF1:100.00% | VAcc:86.25% VF1:86.25% | ETA:121.7min | BestVAcc:88.75%
E183/500 | Loss:0.0041 | TrA:100.00% TrF1:100.00% | VAcc:83.75% VF1:83.75% | ETA:121.3min | BestVAcc:88.75%
E184/500 | Loss:0.0028 | TrA:100.00% TrF1:100.00% | VAcc:86.25% VF1:86.25% | ETA:120.9min | BestVAcc:88.75%
E185/500 | Loss:0.0071 | TrA:99.37% TrF1:99.37% | VAcc:88.75% VF1:88.75% | ETA:120.4min | BestVAcc:88.75%
E186/500 | Loss:0.0085 | TrA:98.73% TrF1:98.73% | VAcc:87.50% VF1:87.50% | ETA:120.0min | BestVAcc:88.75%
E187/500 | Loss:0.0042 | TrA:99.68% TrF1:99.68% | VAcc:83.75% VF1:83.75% | ETA:119.7min | BestVAcc:88.75%
E188/500 | Loss:0.0021 | TrA:100.00% TrF1:100.00% | VAcc:83.75% VF1:83.75% | ETA:119.2min | BestVAcc:88.75%
E189/500 | Loss:0.0029 | TrA:99.68% TrF1:99.68% | VAcc:85.00% VF1:85.00% | ETA:118.8min | BestVAcc:88.75%
E190/500 | Loss:0.0064 | TrA:99.05% TrF1:99.05% | VAcc:86.25% VF1:86.25% | ETA:118.5min | BestVAcc:88.75%
