E122/500 | Loss:0.0001 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:170.9min | BestVAcc:90.00%
E123/500 | Loss:0.0000 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:170.3min | BestVAcc:90.00%
E124/500 | Loss:0.0000 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:168.2min | BestVAcc:90.00%
E125/500 | Loss:0.0000 | TrA:100.00% TrF1:100.00% | VAcc:90.00% VF1:90.00% | ETA:167.5min | BestVAcc:90.00%
E126/500 | Loss:0.0221 | TrA:99.37% TrF1:99.37% | VAcc:90.00% VF1:90.00% | ETA:166.4min | BestVAcc:90.00%
E127/500 | Loss:0.3782 | TrA:81.01% TrF1:81.01% | VAcc:62.50% VF1:62.50% | ETA:164.7min | BestVAcc:90.00%
E128/500 | Loss:0.1952 | TrA:85.76% TrF1:85.76% | VAcc:73.75% VF1:73.75% | ETA:163.0min | BestVAcc:90.00%
E129/500 | Loss:0.1648 | TrA:84.49% TrF1:84.49% | VAcc:78.75% VF1:78.75% | ETA:161.2min | BestVAcc:90.00%
E130/500 | Loss:0.1063 | TrA:90.51% TrF1:90.51% | VAcc:80.00% VF1:80.00% | ETA:159.8min | BestVAcc:90.00%
E131/500 | Loss:0.0656 | TrA:95.57% TrF1:95.57% | VAcc:85.00% VF1:85.00% | ETA:159.3min | BestVAcc:90.00%
E132/500 | Loss:0.0255 | TrA:98.10% TrF1:98.10% | VAcc:88.75% VF1:88.75% | ETA:158.7min | BestVAcc:90.00%
E133/500 | Loss:0.0060 | TrA:99.37% TrF1:99.37% | VAcc:88.75% VF1:88.75% | ETA:158.6min | BestVAcc:90.00%
E134/500 | Loss:0.0072 | TrA:99.05% TrF1:99.05% | VAcc:90.00% VF1:90.00% | ETA:158.5min | BestVAcc:90.00%
E135/500 | Loss:0.0019 | TrA:99.68% TrF1:99.68% | VAcc:88.75% VF1:88.75% | ETA:158.9min | BestVAcc:90.00%
E136/500 | Loss:0.0068 | TrA:99.68% TrF1:99.68% | VAcc:88.75% VF1:88.75% | ETA:158.9min | BestVAcc:90.00%
E137/500 | Loss:0.0309 | TrA:97.15% TrF1:97.15% | VAcc:87.50% VF1:87.50% | ETA:158.6min | BestVAcc:90.00%
E138/500 | Loss:0.0164 | TrA:98.73% TrF1:98.73% | VAcc:90.00% VF1:90.00% | ETA:158.3min | BestVAcc:90.00%
E139/500 | Loss:0.0500 | TrA:98.10% TrF1:98.10% | VAcc:85.00% VF1:85.00% | ETA:157.9min | BestVAcc:90.00%
E140/500 | Loss:0.0093 | TrA:99.05% TrF1:99.05% | VAcc:87.50% VF1:87.50% | ETA:157.5min | BestVAcc:90.00%
E141/500 | Loss:0.0112 | TrA:99.37% TrF1:99.37% | VAcc:85.00% VF1:85.00% | ETA:157.1min | BestVAcc:90.00%
E142/500 | Loss:0.0632 | TrA:95.25% TrF1:95.25% | VAcc:81.25% VF1:81.25% | ETA:156.9min | BestVAcc:90.00%
E143/500 | Loss:0.0303 | TrA:96.52% TrF1:96.52% | VAcc:91.25% VF1:91.25% | ETA:156.3min | BestVAcc:91.25%
E144/500 | Loss:0.0154 | TrA:98.42% TrF1:98.42% | VAcc:90.00% VF1:90.00% | ETA:156.1min | BestVAcc:91.25%
E145/500 | Loss:0.0310 | TrA:98.42% TrF1:98.42% | VAcc:87.50% VF1:87.50% | ETA:155.1min | BestVAcc:91.25%
E146/500 | Loss:0.0529 | TrA:97.78% TrF1:97.78% | VAcc:88.75% VF1:88.75% | ETA:154.4min | BestVAcc:91.25%
E147/500 | Loss:0.0150 | TrA:98.73% TrF1:98.73% | VAcc:88.75% VF1:88.75% | ETA:155.1min | BestVAcc:91.25%
E148/500 | Loss:0.0149 | TrA:98.73% TrF1:98.73% | VAcc:88.75% VF1:88.75% | ETA:156.4min | BestVAcc:91.25%
E149/500 | Loss:0.0184 | TrA:98.42% TrF1:98.42% | VAcc:88.75% VF1:88.75% | ETA:156.5min | BestVAcc:91.25%
E150/500 | Loss:0.0139 | TrA:98.73% TrF1:98.73% | VAcc:88.75% VF1:88.75% | ETA:156.6min | BestVAcc:91.25%
E151/500 | Loss:0.0137 | TrA:98.73% TrF1:98.73% | VAcc:88.75% VF1:88.75% | ETA:156.8min | BestVAcc:91.25%
E152/500 | Loss:0.0164 | TrA:97.78% TrF1:97.78% | VAcc:87.50% VF1:87.50% | ETA:156.7min | BestVAcc:91.25%
E153/500 | Loss:0.0811 | TrA:94.94% TrF1:94.94% | VAcc:86.25% VF1:86.25% | ETA:156.5min | BestVAcc:91.25%
E154/500 | Loss:0.1200 | TrA:95.25% TrF1:95.25% | VAcc:88.75% VF1:88.75% | ETA:156.1min | BestVAcc:91.25%
E155/500 | Loss:0.0431 | TrA:96.84% TrF1:96.84% | VAcc:88.75% VF1:88.75% | ETA:155.8min | BestVAcc:91.25%
E156/500 | Loss:0.0150 | TrA:98.42% TrF1:98.42% | VAcc:86.25% VF1:86.25% | ETA:156.0min | BestVAcc:91.25%
E157/500 | Loss:0.0091 | TrA:99.68% TrF1:99.68% | VAcc:87.50% VF1:87.50% | ETA:154.9min | BestVAcc:91.25%
E158/500 | Loss:0.0017 | TrA:99.68% TrF1:99.68% | VAcc:90.00% VF1:90.00% | ETA:153.5min | BestVAcc:91.25%
E159/500 | Loss:0.0003 | TrA:100.00% TrF1:100.00% | VAcc:88.75% VF1:88.75% | ETA:153.4min | BestVAcc:91.25%
E160/500 | Loss:0.0002 | TrA:100.00% TrF1:100.00% | VAcc:88.75% VF1:88.75% | ETA:153.6min | BestVAcc:91.25%
E161/500 | Loss:0.0027 | TrA:99.68% TrF1:99.68% | VAcc:88.75% VF1:88.75% | ETA:153.2min | BestVAcc:91.25%
E162/500 | Loss:0.0013 | TrA:100.00% TrF1:100.00% | VAcc:88.75% VF1:88.75% | ETA:152.7min | BestVAcc:91.25%
E163/500 | Loss:0.0001 | TrA:100.00% TrF1:100.00% | VAcc:88.75% VF1:88.75% | ETA:152.4min | BestVAcc:91.25%
E164/500 | Loss:0.0002 | TrA:100.00% TrF1:100.00% | VAcc:88.75% VF1:88.75% | ETA:152.1min | BestVAcc:91.25%
E165/500 | Loss:0.0001 | TrA:100.00% TrF1:100.00% | VAcc:88.75% VF1:88.75% | ETA:151.7min | BestVAcc:91.25%
E166/500 | Loss:0.0001 | TrA:100.00% TrF1:100.00% | VAcc:88.75% VF1:88.75% | ETA:151.0min | BestVAcc:91.25%
E167/500 | Loss:0.0001 | TrA:100.00% TrF1:100.00% | VAcc:88.75% VF1:88.75% | ETA:150.6min | BestVAcc:91.25%
E168/500 | Loss:0.0001 | TrA:100.00% TrF1:100.00% | VAcc:88.75% VF1:88.75% | ETA:150.0min | BestVAcc:91.25%
E169/500 | Loss:0.0094 | TrA:99.68% TrF1:99.68% | VAcc:88.75% VF1:88.75% | ETA:149.3min | BestVAcc:91.25%
E170/500 | Loss:0.0522 | TrA:96.84% TrF1:96.84% | VAcc:88.75% VF1:88.75% | ETA:148.2min | BestVAcc:91.25%
E171/500 | Loss:0.0051 | TrA:99.37% TrF1:99.37% | VAcc:88.75% VF1:88.75% | ETA:147.7min | BestVAcc:91.25%
E172/500 | Loss:0.0052 | TrA:99.37% TrF1:99.37% | VAcc:88.75% VF1:88.75% | ETA:147.2min | BestVAcc:91.25%
E173/500 | Loss:0.1266 | TrA:96.84% TrF1:96.84% | VAcc:81.25% VF1:81.25% | ETA:146.5min | BestVAcc:91.25%
E174/500 | Loss:0.0691 | TrA:92.41% TrF1:92.41% | VAcc:83.75% VF1:83.75% | ETA:146.0min | BestVAcc:91.25%
E175/500 | Loss:0.0155 | TrA:98.42% TrF1:98.42% | VAcc:86.25% VF1:86.25% | ETA:145.4min | BestVAcc:91.25%
E176/500 | Loss:0.0023 | TrA:100.00% TrF1:100.00% | VAcc:86.25% VF1:86.25% | ETA:145.1min | BestVAcc:91.25%
E177/500 | Loss:0.0018 | TrA:100.00% TrF1:100.00% | VAcc:88.75% VF1:88.75% | ETA:144.5min | BestVAcc:91.25%
E178/500 | Loss:0.0003 | TrA:100.00% TrF1:100.00% | VAcc:88.75% VF1:88.75% | ETA:143.9min | BestVAcc:91.25%
E179/500 | Loss:0.0008 | TrA:100.00% TrF1:100.00% | VAcc:87.50% VF1:87.50% | ETA:143.2min | BestVAcc:91.25%
E180/500 | Loss:0.0044 | TrA:99.05% TrF1:99.05% | VAcc:83.75% VF1:83.75% | ETA:142.6min | BestVAcc:91.25%
E181/500 | Loss:0.1484 | TrA:93.99% TrF1:93.99% | VAcc:88.75% VF1:88.75% | ETA:141.9min | BestVAcc:91.25%
E182/500 | Loss:0.0357 | TrA:97.78% TrF1:97.78% | VAcc:87.50% VF1:87.50% | ETA:141.4min | BestVAcc:91.25%
E183/500 | Loss:0.0547 | TrA:95.89% TrF1:95.89% | VAcc:88.75% VF1:88.75% | ETA:140.8min | BestVAcc:91.25%
E184/500 | Loss:0.0131 | TrA:99.37% TrF1:99.37% | VAcc:88.75% VF1:88.75% | ETA:140.1min | BestVAcc:91.25%
E185/500 | Loss:0.0052 | TrA:99.68% TrF1:99.68% | VAcc:87.50% VF1:87.50% | ETA:139.6min | BestVAcc:91.25%
E186/500 | Loss:0.0055 | TrA:99.68% TrF1:99.68% | VAcc:87.50% VF1:87.50% | ETA:138.9min | BestVAcc:91.25%
E187/500 | Loss:0.0146 | TrA:99.37% TrF1:99.37% | VAcc:86.25% VF1:86.25% | ETA:138.3min | BestVAcc:91.25%
E188/500 | Loss:0.0302 | TrA:98.73% TrF1:98.73% | VAcc:86.25% VF1:86.25% | ETA:137.7min | BestVAcc:91.25%
E189/500 | Loss:0.0215 | TrA:99.37% TrF1:99.37% | VAcc:90.00% VF1:90.00% | ETA:137.1min | BestVAcc:91.25%
